Settlement,Distance from home (km)
Woolpit Green,2.2
Woolpit Heath,2.4
Wetherden,2.7
Norton Little Green,2.8
Drinkstone,3.0
Borley Green,3.1
Norton,3.2
Haughley New Street,3.4
Wetherden Upper Town,3.6
Stanton Street,4.2
Hunston,4.8
Beyton,4.9
Haughley Green,5.0
Hessett,5.1
Stockhold Green,5.3
Thurston Planche,5.3
Poystreet Green,5.5
Long Thurlow,5.5
High Rougham,6.1
Langham,6.1
Nether Street,6.3
Wyverstone Street,6.4
Ward Green,6.7
Grimstone End,7.0
West Street,7.3
Rougham Green,7.4
Felsham,7.5
Bradfield St George,7.8
Walsham le Willows,8.0
Westhorpe,8.1
Blackthorpe,8.1
Ixworth,8.3
High Street Green,8.3
Ford's Green,8.3
Pitcher's Green,8.5
Gipping,8.8
Stowupland,9.2
Rushbrooke,9.2
Upthorpe,9.2
Bradfield St Clare,9.4
Little Finborough,9.5
Cattishall,9.8
Little Whelnetham,9.9
Cockfield Great Green,10.1
Little London,10.4
Saxham Street,10.6
Bardwell,10.7
Cross Green,10.8
Great Whelnetham,10.8
Wattisfield,10.8
Badley,10.8
Sicklesmere,10.9
Stanton Chare,10.9
Bradfield Combust,11.1
Allwood Green,11.1
Creeting St Peter,11.1
Almshouse Green,11.1
Hepworth,11.4
Middlewood Green,11.5
Battisford,11.7
Cross Green,11.7
Low Green,11.7
Hitcham Causeway,11.8
Nowton,11.8
North Common,11.9
Stanningfield,12.0
Wattisham,12.4
Windsor Green,12.4
High Green,12.8
Bury St Edmunds,13.0
Sapiston,13.0
Hawstead Green,13.0
Hawstead,13.1
Honington,13.1
Smithwood Green,13.7
Barking,13.9
Ampton,13.9
Timworth,13.9
Brockford Street,14.0
Pinford End,14.0
Fornham St Genevieve,14.1
Little Stonham,14.2
Brockford Green,14.3
Thorpe Street,14.3
Nedging Tye,14.4
Earl Stonham,14.4
Coney Weston,14.6
Ingham,14.6
Stoke Ash,14.8
Wetheringsett,14.9
Fornham All Saints,15.0
Naughton,15.3
Melon Green,15.3
Burnside,15.4
Mickfield,15.5
Hopton,15.5
Mickley Green,15.5
Darmsden,15.7
Coddenham Green,15.7
Westley,15.9
Horringer,15.9
Mill Green,16.0
Alpheton,16.3
Swingleton Green,16.5
Hengrave,16.6
Shimpling,16.7
Knettishall,16.9
Culford Heath,16.9
Stonecross Green,16.9
Gulling Green,17.0
Baylham,17.1
Baylham,17.2
Braiseworth,17.2
Magpie Green,17.4
Pound Green,17.4
Euston,17.6
Nettlestead,17.7
Bridge Street,17.9
Flempton,18.0
Crowfield,18.1
Little Saxham,18.3
Thrandeston,18.3
Drakestone Green,18.3
Cross Green,18.4
Aspall,18.6
Risby,18.7
Great Blakenham,18.8
Rishangles,18.8
Winston Green,19.0
Rose Green,19.2
Debenham,19.2
Great Saxham,19.2
Eye,19.3
Little Blakenham,19.4
Rede,19.4
Hemingstone,19.5
Gosbeck,19.6
Lackford,19.8
Chevington,19.9
Palgrave,19.9
Brome,20.0
Somerton,20.0
Chedburgh,20.2
Barham,20.2
Broad Green,20.2
Stanstead,20.3
Tan Office Green,20.3
Kersey Tye,20.5
Bedingfield,20.7
Birds End,20.7
Kersey Upland,20.8
Stuston,20.9
Burthorpe,21.1
School Green,21.2
Kenton,21.3
Mill Green,21.3
Hawkedon,21.4
Depden,21.5
Barrow,21.7
Edwardstone,21.7
Wicker Street Green,21.7
Helmingham,21.8
Glemsford,21.8
Hargrave Green,21.8
Fenstead End,21.9
Ashbocking,22.2
Akenham,22.2
Hadleigh Heath,22.2
Thurston End,22.3
Elveden,22.6
Chilton,22.7
Denham,22.9
Hintlesham,22.9
Cavenham,22.9
Stansfield,22.9
Bower House Tye,22.9
Gibraltar,23.0
Monk Soham,23.1
Baxter's Green,23.2
Oakley,23.3
Ashfield Green,23.3
Upper Street,23.3
Clopton Green,23.5
Polstead Heath,23.6
Middle Green,23.6
Denham,23.7
Calais Street,23.7
Upper Green,23.7
Layham,23.8
Higham,23.8
Newton,23.8
Athelington,23.9
Lower Green,23.9
Chattisham,24.0
Assington Green,24.1
Genesis Green,24.1
Stone Street,24.1
Whitestreet Green,24.4
Wickham Street,24.5
Sudbury,24.7
Denston,24.7
Kittle's Corner,25.0
Earl Soham,25.1
Wickhambrook,25.1
Clopton Green,25.1
Malting End,25.1
Great Cornard,25.2
Polstead,25.4
Washbrook,25.5
Shelley,25.7
Stradishall,25.8
Little Cornard,25.8
Clopton Corner,25.8
Attleton Green,25.8
Bell's Corner,25.8
Raydon,25.9
Copdock,25.9
Assington,25.9
Dalham,26.0
Tuddenham St Martin,26.1
Gazeley,26.2
Monewden,26.2
Ipswich,26.2
Mill Street,26.2
Needham Street,26.3
Clopton,26.3
Tannington,26.4
Stanway Green,26.4
Little Wenham,26.6
Lidgate,26.7
Great Wenham,26.7
Cropley Grove,26.8
Farley Green,26.8
Saxtead Little Green,27.0
Herringswell,27.1
Culpho,27.1
Kentford,27.3
Wilby,27.3
Stoke by Nayland,27.4
Saxtead Green,27.4
Wilby Green,27.4
Workhouse Green,27.5
Capel St Mary,27.7
Debach,27.7
Dorking Tye,27.7
Burgh,27.8
Cock and End,27.8
Saxtead,27.9
Rushmere St Andrew,28.0
Charsfield,28.0
Playford,28.1
Crown Corner,28.1
Honey Tye,28.1
Barton Mills,28.2
Cowlinge,28.2
Foals Green,28.2
Pound Green,28.3
Thorington Street,28.3
Barley View,28.3
Higham,28.5
Russels Green,28.5
Barley Green,28.5
Gibb's Green,28.6
Moulton,28.7
Mill Green,28.7
Bleach Green,28.7
Lambfair Green,28.8
Wherstead,28.9
Great Bealings,29.0
Apsey Green,29.1
Brundish Street,29.1
Bures Green,29.2
Maypole Green,29.2
Mildenhall,29.2
Earsham Street,29.2
Santon Downham,29.3
Nayland,29.4
Brundish,29.4
Ashfield Green,29.5
Chimney Street,29.5
Upper Weybread,29.5
Tattingstone White Horse,29.7
Hobbles Green,29.7
Letheringham,29.7
Dallinghoo,29.8
Bentley,29.8
Boulge,29.8
Kesgrave,29.9
Dennington,30.2
Worlington,30.4
Holywell Row,30.4
Goddard's Corner,30.5
Sowley Green,30.5
Tattingstone,30.6
Owl's Green,30.6
Bredfield,30.7
Brockley Green,30.8
East End,30.8
Freston,30.9
Barnardiston,30.9
Capon Green,30.9
Fressingfield,31.0
Stoke-by-Clare,31.2
East Green,31.3
Weybread Street,31.3
Wilde Street,31.5
Martlesham,31.6
Flatford,31.7
Brantham,32.0
Beck Row,32.1
Foxhall,32.1
Woolverstone,32.3
Little Bradley,32.3
Lodge Farm,32.3
Parham,32.6
Pettistree,32.6
Cattawade,32.7
Woodbridge,32.7
Melton,32.8
Freckenham,32.8
Little Whittingham Green,32.8
Little Thurlow,32.9
Wickham Market,32.9
West Row,32.9
Ufford,32.9
Badingham,32.9
North Green,32.9
Hacheston,33.0
Great Bradley,33.1
Holbrook,33.1
Great Thurlow,33.2
Stutton,33.3
Great Wratting,33.3
Mill Green,33.3
Little Wratting,33.4
Nacton,33.4
Silverley's Green,33.4
Wixoe,33.5
Undley,33.6
Silverlace Green,33.6
Withersdale Street,33.7
Cransford,33.8
Bucklesham,34.0
Waldringfield Heath,34.0
Pin Mill,34.1
Bruisyard,34.6
Bromeswell,34.7
Lower Holbrook,34.8
Cratfield,34.9
Levington,35.0
Marlesford,35.1
Kenny Hill,35.2
Waldringfield,35.3
Harkstead,35.4
Metfield,35.5
Campsea Ashe,35.5
Eyke,35.6
Newbourne,35.7
Great Glemham,35.9
Haverhill,36.1
Stratton Hall,36.1
Little Glemham,36.2
Exning,36.3
Heveningham,36.3
Sweffling,36.5
Sutton,36.7
Rendlesham,36.9
Huntingfield,37.0
Friday Street,37.0
Hemley,37.1
Shop Corner,37.1
Spratt's Street,37.4
Erwarton,37.5
Sutton Heath,37.5
Cookley Green,37.5
Collipy's Green,37.5
Stratford St Andrew,37.7
Peasenhall,37.7
Benhall Street,37.7
Linstead Parva,37.8
Morrellhaugh Green,37.8
Silverlace Green,37.9
Kirton,38.0
"St James, South Elmham",38.0
Sedge Fen,38.0
Stone Common,38.1
Shotley,38.2
Farnham,38.2
Thorpe Common,38.4
Cookley,38.5
Shottisham,38.8
Sibton,39.0
Trimley Lower Street,39.0
Benhall,39.1
Ramsholt,39.2
"St Nicholas, South Elmham",39.2
Friday Street,39.3
Falkenham,39.7
Shotley Gate,39.8
Curlew Green,39.9
Chediston,40.1
Sibton Green,40.1
Benhall Green,40.2
Dorley's Corner,40.2
Carlton,40.3
Flixton,40.3
Snape Watering,40.3
Lower Falkenham,40.3
Saxmundham,40.4
"All Saints, South Elmham",40.5
Wantisden,40.5
Butley,40.7
Gromford,40.7
Sternfield,41.0
"St Peter, South Elmham",41.2
Capel Green,41.2
"St Michael, South Elmham",41.3
North Green,41.6
Yoxford,41.7
Ely Hill,41.7
Chillesford,42.0
Walton,42.0
Butley Abbey,42.0
East Green,42.1
Butley Low Corner,42.2
Butley High Corner,42.4
"St Margaret, Ilketshall",42.7
Boyton,42.8
Bramfield,43.0
Spexhall,43.0
Friston,43.1
Felixstowe,43.2
Bawdsey,43.5
Middleton Moor,43.6
Shingle Street,43.7
Iken,43.8
Bungay,44.0
Darsham,44.3
Sudbourne,44.4
Stone Street,44.4
Knodishall,44.5
"St Lawrence, Ilketshall",44.5
Fordley,44.6
"St John, Ilketshall",44.8
Middleton,44.9
Upper Holton,44.9
Gedgrave,45.0
Thorington,45.2
Coldfair Green,45.3
Theberton,45.6
Wenhaston,45.7
Rattla Corner,45.8
Westleton,46.1
Orford,46.1
Blyford,46.2
"St Andrew, Ilketshall",46.6
Hinton,46.6
Eastbridge,47.1
Westhall,47.6
Sotherton,48.6
Aldeburgh,48.8
Slaughden,48.8
Brampton,49.0
Sizewell,49.2
Shadingfield,49.5
Uggeshall,49.6
Dunwich,49.9
Stoven,50.0
Willingham St Mary,50.2
Weston,50.6
Sotterley,51.6
Ellough,51.6
Frostenden,53.0
Worlingham,53.4
Hulver Street,54.0
North Cove,54.6
South Cove,54.6
Easton Bavents,54.9
Wrentham,55.0
Barnby,55.3
Mutford,55.8
Henstead,55.8
Rushmere,56.3
Benacre,56.7
Covehithe,57.0
Gisleham,58.6
Carlton Colville,58.9
Kessingland,59.0
Somerleyton,60.3
Oulton Broad,61.3
Ashby,62.1
Flixton,62.2
Oulton,62.5
Blundeston,63.0
Lound,63.0
Lowestoft,64.0
Bloodman's Corner,64.0
Corton,65.2
Deanes,6071.1
Everets,6081.8
Russell Point,6083.2
Kings Crossing,6083.7
Indian Point Estates,6084.8
Lake Prince Meadows,6084.9
Princeview Point,6084.9
Palmyra,6085.6
Lake Prince Farms,6085.7
Suffolk,6087.5
Kilby,6090.2
Russell,6090.9
Myrtle,6091.2
Kenyon,6091.7
Skeetertown,6092.3
Carver Terrace,6093.4
Saunders,6093.6
Nurney,6095.9
Nurneysville,6096.4
Bakers Crossing,6097.4
Lummis,6097.7
Franklin Junction,6100.4
Leesville,6100.9
Box Elder,6102.1
Whaley,6103.4
Elwood,6107.1
Pineville,6107.3
Oak Grove,6109.7
Somerton,6110.5
Beales Corner,6110.8
Cleopus,6113.8
Pittmantown,6115.0
South Quay,6115.4
Factory Hill,6118.1
Cherry Grove,6121.2
